Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR,Extra_0
Zachary Van Walleghem,20,37,0,79,197,40.1,23,74,31.1,18,27,66.7,79,8,28,16,37,0,199,4.4,1.4,0.8,0.0,10.0,8.3
Carlin Doak,17,17,0,72,150,48.0,9,37,24.3,15,27,55.6,66,9,30,28,39,0,170,4.4,1.8,1.6,0.0,10.0,10.2
Nico Morrow-Litke,5,14,0,23,56,41.1,0,2,0.0,6,20,30.0,28,23,11,10,13,0,50,10.2,2.2,2.0,0.0,10.0,12.4
Terence Murdock,17,20,1,69,181,38.1,23,55,41.8,7,10,70.0,17,8,15,10,37,2,168,1.5,0.9,0.6,0.1,9.9,4.0
Parth Saul,14,16,0,52,149,34.9,34,104,32.7,1,6,16.7,43,18,16,16,10,1,139,4.4,1.1,1.1,0.1,9.9,8.6
Devin Antymniuk,17,19,1,74,164,45.1,9,28,32.1,11,24,45.8,101,49,41,11,14,7,168,8.8,2.4,0.6,0.4,9.9,15.3
Ali Ahmed,19,23,2,62,176,35.2,51,146,34.9,11,12,91.7,82,10,57,13,27,2,186,4.8,3.0,0.7,0.1,9.8,10.9
Markus Minarik,12,26,0,50,130,38.5,0,2,0.0,15,27,55.6,56,50,13,8,21,5,117,8.8,1.1,0.7,0.4,9.8,11.3
Braedon Speer,19,32,1,79,178,44.4,3,14,21.4,23,43,53.5,111,54,22,19,25,14,184,8.7,1.2,1.0,0.7,9.7,13.7
Sam Haworth,3,3,0,12,35,34.3,4,19,21.1,1,2,50.0,12,4,3,6,7,1,29,5.3,1.0,2.0,0.3,9.7,8.0
Josh Sleva,3,1,0,13,38,34.2,2,9,22.2,1,2,50.0,11,9,4,2,4,0,29,6.7,1.3,0.7,0.0,9.7,8.3
Chace Moroz,12,25,2,42,130,32.3,24,89,27.0,8,12,66.7,49,12,36,12,15,4,116,5.1,3.0,1.0,0.3,9.7,10.2
Gary McIntosh,14,10,2,58,137,42.3,15,35,42.9,3,8,37.5,24,21,29,10,21,1,134,3.2,2.1,0.7,0.1,9.6,8.1
Jesse Gates,31,17,0,120,304,39.5,42,127,33.1,12,17,70.6,121,28,70,40,53,7,296,4.8,2.3,1.3,0.2,9.5,10.3
Matthew Campbell,10,8,0,37,106,34.9,15,55,27.3,4,13,30.8,44,6,12,8,6,2,95,5.0,1.2,0.8,0.2,9.5,8.3
Kenyi Kubari,2,5,0,8,31,25.8,2,8,25.0,1,2,50.0,8,7,7,4,8,2,19,7.5,3.5,2.0,1.0,9.5,7.5
Aeron Balbin,17,15,0,69,167,41.3,16,64,25.0,10,22,45.5,46,23,29,13,29,1,162,4.1,1.7,0.8,0.1,9.5,7.9
Evan Abram,17,24,0,56,201,27.9,38,137,27.7,9,16,56.3,97,21,22,13,15,2,159,6.9,1.3,0.8,0.1,9.4,8.6
Mig Dayao,17,24,0,60,200,30.0,23,95,24.2,15,30,50.0,98,30,27,32,25,4,159,7.5,1.6,1.9,0.2,9.4,10.0
Christian Pascua,12,20,0,50,147,34.0,7,40,17.5,4,11,36.4,23,10,14,17,35,1,111,2.8,1.2,1.4,0.1,9.3,3.1
Bryce McDonald,34,55,0,136,368,37.0,19,81,23.5,24,35,68.6,140,42,89,34,66,11,315,5.4,2.6,1.0,0.3,9.3,9.5
Mark Aguirre,20,33,1,83,184,45.1,8,22,36.4,11,15,73.3,60,12,47,17,27,1,185,3.6,2.4,0.9,0.1,9.3,9.5
Paul Luzige,9,6,0,29,92,31.5,19,66,28.8,5,8,62.5,20,11,14,7,9,0,84,3.4,1.6,0.8,0.0,9.3,6.8
Harold Memita,10,10,0,37,91,40.7,15,57,26.3,4,6,66.7,29,3,23,9,25,0,93,3.2,2.3,0.9,0.0,9.3,7.6
Liam Shedden,11,9,1,41,131,31.3,3,23,13.0,17,23,73.9,40,38,8,9,21,1,102,7.1,0.7,0.8,0.1,9.3,7.4
Logan Kraus,6,2,0,23,51,45.1,9,25,36.0,1,4,25.0,38,10,11,9,2,13,56,8.0,1.8,1.5,2.2,9.3,17.3
Geromy Monte,17,27,0,57,188,30.3,18,100,18.0,24,45,53.3,79,37,40,27,9,9,156,6.8,2.4,1.6,0.5,9.2,11.0
Mosab Ahmed,13,18,0,54,125,43.2,5,33,15.2,6,10,60.0,51,29,31,13,18,7,119,6.2,2.4,1.0,0.5,9.2,12.1
Jesse Kasper,18,29,3,63,201,31.3,13,66,19.7,26,55,47.3,61,22,44,22,71,1,165,4.6,2.4,1.2,0.1,9.2,4.3
Param Gill,9,13,0,33,106,31.1,6,35,17.1,11,17,64.7,42,15,15,9,17,2,83,6.3,1.7,1.0,0.2,9.2,7.8
Alex Cavallin,14,12,0,54,159,34.0,7,35,20.0,14,21,66.7,46,20,6,10,13,1,129,4.7,0.4,0.7,0.1,9.2,6.2
Liam Patrick,20,20,0,75,132,56.8,3,9,33.3,29,70,41.4,130,96,26,23,36,8,182,11.3,1.3,1.2,0.4,9.1,16.6
Justin Lange,33,60,0,122,300,40.7,29,123,23.6,26,51,51.0,153,53,68,27,52,2,299,6.2,2.1,0.8,0.1,9.1,10.5
Tarndeep Gosal,11,7,0,38,100,38.0,24,71,33.8,0,4,0.0,33,9,12,6,8,0,100,3.8,1.1,0.5,0.0,9.1,7.8
Brandan Gates,1,0,0,3,8,37.5,3,5,60.0,0,0,0.0,3,1,0,0,0,0,9,4.0,0.0,0.0,0.0,9.0,8.0
