Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
David Oshilaja,24,29,0,141,292,48.3,7,38,18.4,26,44,59.1,84,90,10,19,36,19,315,7.3,0.4,0.8,0.8,13.1
Caleb MacDonald,16,27,0,101,179,56.4,2,9,22.2,6,12,50.0,122,90,12,16,19,40,210,13.3,0.8,1.0,2.5,13.1
Adrian Lanoria,8,10,0,47,131,35.9,7,34,20.6,4,6,66.7,22,13,14,20,22,2,105,4.4,1.8,2.5,0.3,13.1
Skylar Cooper,16,6,1,83,193,43.0,34,111,30.6,7,9,77.8,59,17,42,10,30,0,209,4.8,2.6,0.6,0.0,13.1
Carson Carbredo,8,12,0,43,97,44.3,7,23,30.4,11,16,68.8,25,5,7,10,14,1,104,3.8,0.9,1.3,0.1,13.0
Aaron Woo,2,3,0,9,39,23.1,7,27,25.9,1,2,50.0,14,4,3,2,6,0,26,9.0,1.5,1.0,0.0,13.0
John Diana,1,0,0,6,9,66.7,0,1,0.0,1,1,100.0,2,0,0,0,2,0,13,2.0,0.0,0.0,0.0,13.0
Jordan Esquillo,8,4,0,40,95,42.1,19,53,35.8,5,7,71.4,22,10,5,12,10,0,104,4.0,0.6,1.5,0.0,13.0
Pranay Tailor,2,4,0,11,23,47.8,3,5,60.0,1,3,33.3,7,4,0,1,2,0,26,5.5,0.0,0.5,0.0,13.0
Kaz Manchur,3,3,0,16,43,37.2,7,25,28.0,0,0,0.0,15,4,7,9,5,0,39,6.3,2.3,3.0,0.0,13.0
Ryan Rycroft,1,1,0,4,12,33.3,3,9,33.3,2,2,100.0,6,4,4,0,0,2,13,10.0,4.0,0.0,2.0,13.0
Pierre Arnuco,10,8,1,42,106,39.6,29,77,37.7,16,29,55.2,22,6,16,25,12,1,129,2.8,1.6,2.5,0.1,12.9
Luke Penner,9,17,1,40,149,26.8,21,89,23.6,15,23,65.2,33,5,4,9,12,2,116,4.2,0.4,1.0,0.2,12.9
Kai Leong,4,2,0,21,56,37.5,9,25,36.0,0,1,0.0,2,3,1,3,5,0,51,1.3,0.3,0.8,0.0,12.8
Jay Kesson,24,30,1,132,265,49.8,8,31,25.8,36,52,69.2,156,40,44,28,60,2,308,8.2,1.8,1.2,0.1,12.8
