Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Cameron Bannister,1,1,0,4,18,22.2,2,13,15.4,0,0,0.0,7,4,1,3,4,0,10,11.0,1.0,3.0,0.0,10.0
Raphael Fais,10,14,0,37,90,41.1,18,57,31.6,8,12,66.7,29,11,24,17,8,1,100,4.0,2.4,1.7,0.1,10.0
Braden Zborowsky,10,19,0,38,126,30.2,5,33,15.2,19,50,38.0,60,32,7,12,18,2,100,9.2,0.7,1.2,0.2,10.0
Brett Finch-Field,6,13,0,21,61,34.4,15,47,31.9,3,5,60.0,10,1,5,3,10,3,60,1.8,0.8,0.5,0.5,10.0
Bobbie Driskell,3,3,0,13,36,36.1,3,15,20.0,1,2,50.0,12,4,12,2,9,3,30,5.3,4.0,0.7,1.0,10.0
Eric Douglas,9,9,0,42,88,47.7,0,1,0.0,5,16,31.3,76,52,15,9,22,18,89,14.2,1.7,1.0,2.0,9.9
Andrew Willms,8,19,2,31,88,35.2,2,14,14.3,15,30,50.0,67,38,20,10,18,4,79,13.1,2.5,1.3,0.5,9.9
Joshua Cruz,12,5,0,43,121,35.5,39,110,35.5,0,0,0.0,28,5,10,5,16,0,119,2.8,0.8,0.4,0.0,9.9
Gabriel Samac,11,13,1,45,108,41.7,16,57,28.1,3,8,37.5,15,12,16,10,10,0,109,2.5,1.5,0.9,0.0,9.9
Chris Tecson,7,7,0,27,73,37.0,12,38,31.6,3,6,50.0,25,12,13,3,12,0,69,5.3,1.9,0.4,0.0,9.9
James Rae,4,2,0,15,35,42.9,4,16,25.0,5,7,71.4,16,3,11,3,7,0,39,4.8,2.8,0.8,0.0,9.8
Cini Laki,16,21,0,63,176,35.8,21,78,26.9,9,18,50.0,59,41,13,13,19,4,156,6.3,0.8,0.8,0.3,9.8
Cole Neufeld,8,12,0,28,74,37.8,6,26,23.1,16,30,53.3,18,9,11,9,25,1,78,3.4,1.4,1.1,0.1,9.8
Azam Coward,10,15,0,36,132,27.3,8,50,16.0,18,37,48.6,58,36,22,8,19,1,98,9.4,2.2,0.8,0.1,9.8
Dom Merano,6,5,0,27,89,30.3,3,27,11.1,2,6,33.3,22,11,14,17,13,0,59,5.5,2.3,2.8,0.0,9.8
Gage O’Reilly-Trudel,6,6,0,22,57,38.6,3,16,18.8,12,13,92.3,26,20,7,6,3,4,59,7.7,1.2,1.0,0.7,9.8
Charles Goossen,6,11,0,25,52,48.1,6,19,31.6,3,11,27.3,37,13,13,6,9,2,59,8.3,2.2,1.0,0.3,9.8
Brendan Obirek,9,10,0,34,104,32.7,14,52,26.9,6,16,37.5,43,15,27,6,14,4,88,6.4,3.0,0.7,0.4,9.8
Jordan Jaskiewicz,9,10,0,35,85,41.2,10,34,29.4,7,8,87.5,36,18,9,3,4,4,87,6.0,1.0,0.3,0.4,9.7
Darshan Dhillon,6,7,0,26,59,44.1,3,20,15.0,5,11,45.5,21,12,5,13,17,3,58,5.5,0.8,2.2,0.5,9.7
Ian Schaefer,3,1,0,12,20,60.0,2,5,40.0,3,7,42.9,6,6,5,1,1,1,29,4.0,1.7,0.3,0.3,9.7
Mosab Ahmed,9,11,0,36,93,38.7,7,23,30.4,8,15,53.3,30,16,24,13,16,1,87,5.1,2.7,1.4,0.1,9.7
Omar Omar,3,7,0,10,23,43.5,5,10,50.0,4,9,44.4,11,3,7,5,5,0,29,4.7,2.3,1.7,0.0,9.7
John Aragon,9,14,0,36,95,37.9,15,42,35.7,1,2,50.0,26,6,16,11,22,0,87,3.6,1.8,1.2,0.0,9.7
Matthew Kaspick,9,13,0,36,105,34.3,13,56,23.2,2,5,40.0,34,17,4,8,13,2,87,5.7,0.4,0.9,0.2,9.7
Connor McEvoy,5,6,0,20,41,48.8,5,12,41.7,3,13,23.1,19,10,7,4,7,2,48,5.8,1.4,0.8,0.4,9.6
Finn Tait,11,19,0,44,118,37.3,2,22,9.1,16,36,44.4,59,17,17,12,20,4,106,6.9,1.5,1.1,0.4,9.6
Tyler Stanley,9,5,0,38,88,43.2,6,27,22.2,4,5,80.0,19,5,15,17,11,0,86,2.7,1.7,1.9,0.0,9.6
Owen Machendagoos,12,17,0,52,108,48.1,3,21,14.3,8,17,47.1,38,28,12,13,13,3,115,5.5,1.0,1.1,0.3,9.6
Ishpal Gill,12,15,0,44,150,29.3,20,92,21.7,6,17,35.3,60,19,15,10,15,3,114,6.6,1.3,0.8,0.3,9.5
Garret Nicholson,8,13,0,31,98,31.6,7,23,30.4,7,18,38.9,55,10,13,20,18,5,76,8.1,1.6,2.5,0.6,9.5
Michal Tynski,8,5,0,26,70,37.1,21,60,35.0,3,4,75.0,4,1,7,6,10,0,76,0.6,0.9,0.8,0.0,9.5
Luke Cardinal,2,1,0,9,19,47.4,0,4,0.0,1,1,100.0,5,3,1,3,2,0,19,4.0,0.5,1.5,0.0,9.5
Lance Del Mundo,10,8,1,36,109,33.0,12,51,23.5,11,13,84.6,33,14,32,13,18,0,95,4.7,3.2,1.3,0.0,9.5
Pajack Obeing,12,15,0,48,147,32.7,9,46,19.6,9,22,40.9,32,24,32,22,31,5,114,4.7,2.7,1.8,0.4,9.5
Marc Alcaraz,11,23,0,41,112,36.6,17,68,25.0,5,12,41.7,36,9,22,24,9,1,104,4.1,2.0,2.2,0.1,9.5
Connor Knott,10,6,0,43,80,53.8,7,24,29.2,1,2,50.0,38,10,16,7,17,4,94,4.8,1.6,0.7,0.4,9.4
David Mugugu,15,32,0,60,150,40.0,9,52,17.3,12,34,35.3,56,47,19,16,18,10,141,6.9,1.3,1.1,0.7,9.4
Nikola Zorcic,8,9,0,26,74,35.1,17,51,33.3,6,13,46.2,51,10,27,6,22,3,75,7.6,3.4,0.8,0.4,9.4
Colby Sawatzky,9,8,0,41,82,50.0,0,15,0.0,3,11,27.3,24,15,9,10,11,1,85,4.3,1.0,1.1,0.1,9.4
Terence Murdock,12,24,1,45,113,39.8,6,30,20.0,17,25,68.0,19,14,28,21,17,1,113,2.8,2.3,1.8,0.1,9.4
Angelo Torno,10,8,0,38,99,38.4,8,21,38.1,10,17,58.8,42,13,5,12,8,2,94,5.5,0.5,1.2,0.2,9.4
Chan Madut,11,10,0,43,116,37.1,5,33,15.2,11,23,47.8,48,27,31,27,30,3,102,6.8,2.8,2.5,0.3,9.3
Manny Skead,9,14,0,34,93,36.6,13,59,22.0,12,20,60.0,23,9,29,15,26,0,84,3.6,3.2,1.7,0.0,9.3
Trevor Godfrey,28,34,0,92,260,35.4,71,203,35.0,21,8,262.5,129,18,106,18,63,6,260,5.3,3.8,0.6,0.2,9.3
Paul Belanger,24,33,2,93,173,53.8,4,10,40.0,33,50,66.0,109,68,29,11,15,4,223,7.4,1.2,0.5,0.2,9.3
Sean Kirby,9,10,0,29,96,30.2,21,74,28.4,4,6,66.7,49,11,13,5,10,4,83,6.7,1.4,0.6,0.4,9.2
Jamie Lumarque,10,10,0,36,121,29.8,17,67,25.4,2,3,66.7,34,7,15,20,11,3,91,4.1,1.5,2.0,0.3,9.1
Kegan Hopper,8,12,1,32,70,45.7,4,13,30.8,5,10,50.0,53,25,21,12,14,13,73,9.8,2.6,1.5,1.6,9.1
Nico Leung,7,10,0,24,83,28.9,9,48,18.8,6,13,46.2,35,6,16,7,16,0,64,5.9,2.3,1.0,0.0,9.1
Lawson Spence,11,7,0,40,114,35.1,17,60,28.3,3,7,42.9,35,8,10,17,27,1,100,3.9,0.9,1.5,0.1,9.1
Teo Lambert,9,15,0,34,134,25.4,10,57,17.5,4,7,57.1,54,8,15,19,25,2,82,6.9,1.7,2.1,0.2,9.1
Josh Iyere,7,12,1,26,55,47.3,1,12,8.3,11,27,40.7,35,13,5,8,14,7,64,6.9,0.7,1.1,1.0,9.1
Luca Fais,11,5,0,38,113,33.6,30,93,32.3,2,2,100.0,62,11,25,10,14,6,100,6.6,2.3,0.9,0.5,9.1
Myles Stewart,11,10,0,36,115,31.3,21,61,34.4,7,10,70.0,22,23,16,6,22,0,100,4.1,1.5,0.5,0.0,9.1
Nolan Gooding,1,1,0,3,9,33.3,1,4,25.0,2,4,50.0,5,0,3,2,1,1,9,5.0,3.0,2.0,1.0,9.0
Jordan Hutsal,23,17,0,81,190,42.6,11,40,27.5,33,60,55.0,95,62,40,15,60,28,208,6.8,1.7,0.7,1.2,9.0
Spencer McNabb,2,3,0,7,19,36.8,0,4,0.0,4,6,66.7,5,4,2,2,0,0,18,4.5,1.0,1.0,0.0,9.0
Jillian Valdez,6,11,0,21,63,33.3,8,34,23.5,4,7,57.1,24,5,14,11,12,1,54,4.8,2.3,1.8,0.2,9.0
Jong-Sun Kim,1,1,0,3,18,16.7,3,17,17.6,0,0,0.0,5,3,5,1,3,1,9,8.0,5.0,1.0,1.0,9.0
Thatcher Moore,1,1,0,3,6,50.0,3,6,50.0,0,0,0.0,1,0,1,0,1,0,9,1.0,1.0,0.0,0.0,9.0
Mathew Huzel,4,3,0,17,31,54.8,0,2,0.0,2,6,33.3,21,8,9,6,10,5,36,7.3,2.3,1.5,1.3,9.0
Brendon Murray,1,3,0,3,20,15.0,0,8,0.0,3,4,75.0,9,3,0,1,3,1,9,12.0,0.0,1.0,1.0,9.0
Noah Perkins,7,13,0,29,76,38.2,4,18,22.2,1,5,20.0,13,9,8,6,12,0,63,3.1,1.1,0.9,0.0,9.0
Damian Morissette,2,0,0,8,26,30.8,2,11,18.2,0,0,0.0,9,0,6,2,5,0,18,4.5,3.0,1.0,0.0,9.0
Christian Bera,7,10,0,20,51,39.2,10,25,40.0,12,17,70.6,20,12,32,7,23,1,62,4.6,4.6,1.0,0.1,8.9
Harinder  Singh,8,12,1,26,98,26.5,13,57,22.8,6,11,54.5,29,4,11,7,17,1,71,4.1,1.4,0.9,0.1,8.9
Janssen Paguio,8,13,1,29,93,31.2,5,34,14.7,8,13,61.5,41,11,17,8,15,1,71,6.5,2.1,1.0,0.1,8.9
Ramon Burke,8,12,0,27,69,39.1,5,17,29.4,10,12,83.3,29,21,14,20,7,1,71,6.3,1.8,2.5,0.1,8.9
Jatin Bansal,7,19,2,19,64,29.7,7,21,33.3,5,7,71.4,22,13,7,4,11,0,62,5.0,1.0,0.6,0.0,8.9
Ernestho Huletey,8,10,0,32,95,33.7,7,48,14.6,0,7,0.0,38,14,12,11,8,1,71,6.5,1.5,1.4,0.1,8.9
Nikola Trivunac,8,19,1,28,51,54.9,2,4,50.0,13,30,43.3,57,22,13,6,10,3,71,9.9,1.6,0.8,0.4,8.9
Edin Peco,10,23,0,40,114,35.1,7,39,17.9,1,4,25.0,53,29,19,11,26,5,88,8.2,1.9,1.1,0.5,8.8
Enrique Barra,13,16,0,41,120,34.2,29,93,31.2,4,5,80.0,48,5,31,15,38,0,115,4.1,2.4,1.2,0.0,8.8
Siman Sidhu,6,10,0,21,64,32.8,7,33,21.2,4,8,50.0,34,9,14,5,7,0,53,7.2,2.3,0.8,0.0,8.8
Jaymar Minty-Dodd,10,28,0,40,96,41.7,6,27,22.2,2,2,100.0,34,30,12,20,15,5,88,6.4,1.2,2.0,0.5,8.8
Akida Lewis,5,6,1,19,45,42.2,1,2,50.0,5,20,25.0,22,13,7,3,5,0,44,7.0,1.4,0.6,0.0,8.8
Drew Dobinsky,12,18,0,40,127,31.5,17,68,25.0,7,22,31.8,55,19,8,7,11,7,104,6.2,0.7,0.6,0.6,8.7
John Lucero,9,13,1,33,78,42.3,2,13,15.4,10,14,71.4,25,4,17,5,14,1,78,3.2,1.9,0.6,0.1,8.7
Matthew Dyck,3,1,0,9,27,33.3,4,17,23.5,4,5,80.0,8,5,13,8,4,1,26,4.3,4.3,2.7,0.3,8.7
Deven Tagle,10,13,0,35,109,32.1,16,69,23.2,0,2,0.0,44,7,6,9,10,2,86,5.1,0.6,0.9,0.2,8.6
Connor Jonsson,8,16,0,26,71,36.6,11,37,29.7,6,11,54.5,24,8,12,12,5,1,69,4.0,1.5,1.5,0.1,8.6
John Biscocho,8,14,0,29,93,31.2,7,47,14.9,3,8,37.5,21,7,13,9,13,3,68,3.5,1.6,1.1,0.4,8.5
Aiden Walker,10,10,0,40,69,58.0,5,23,21.7,0,1,0.0,26,28,9,7,10,5,85,5.4,0.9,0.7,0.5,8.5
Luc Lindsay,10,24,0,37,92,40.2,7,38,18.4,3,9,33.3,57,25,20,11,16,9,84,8.2,2.0,1.1,0.9,8.4
Miguel Soriano,7,9,0,23,56,41.1,6,17,35.3,7,12,58.3,14,12,10,8,10,0,59,3.7,1.4,1.1,0.0,8.4
Patrick Alcantara,9,24,0,30,76,39.5,2,18,11.1,14,25,56.0,21,10,17,7,27,2,76,3.4,1.9,0.8,0.2,8.4
Sterling McLeod,8,12,0,32,78,41.0,1,6,16.7,2,7,28.6,37,27,7,6,6,9,67,8.0,0.9,0.8,1.1,8.4
Yale Michaels,9,15,0,33,89,37.1,0,5,0.0,8,21,38.1,48,20,19,8,18,0,76,7.6,2.1,0.9,0.0,8.4
Dominic Balcaen,7,6,0,28,62,45.2,2,9,22.2,1,6,16.7,29,20,5,2,15,2,59,7.0,0.7,0.3,0.3,8.4
Gobindkarn Toor,8,7,0,25,103,24.3,13,61,21.3,4,4,100.0,32,12,14,6,5,2,67,5.5,1.8,0.8,0.3,8.4
Navneet Dandiala,9,19,0,33,65,50.8,2,8,25.0,8,15,53.3,46,23,1,2,4,8,76,7.7,0.1,0.2,0.9,8.4
Riley Werner,10,6,0,34,100,34.0,6,33,18.2,9,15,60.0,38,39,10,2,16,8,83,7.7,1.0,0.2,0.8,8.3
Duncan Nzisabira,8,19,0,27,83,32.5,3,19,15.8,9,20,45.0,50,22,12,19,23,10,66,9.0,1.5,2.4,1.3,8.3
Dee Htoo Eh,9,3,0,27,83,32.5,12,39,30.8,9,9,100.0,43,10,17,8,36,0,75,5.9,1.9,0.9,0.0,8.3
Ezekiel David,10,17,0,36,111,32.4,9,47,19.1,2,9,22.2,32,6,17,17,14,6,83,3.8,1.7,1.7,0.6,8.3
Stephen Ralko,9,9,0,28,56,50.0,16,38,42.1,2,4,50.0,29,8,24,8,7,1,74,4.1,2.7,0.9,0.1,8.2
Justine Mamucud,6,12,0,21,49,42.9,1,3,33.3,4,6,66.7,38,12,7,0,17,4,49,8.3,1.2,0.0,0.7,8.2
Brian Louangxay,11,15,0,32,98,32.7,23,71,32.4,3,4,75.0,40,4,18,7,13,1,90,4.0,1.6,0.6,0.1,8.2
Juan Villada,10,16,0,32,94,34.0,12,54,22.2,6,13,46.2,49,13,46,22,27,0,82,6.2,4.6,2.2,0.0,8.2
Noah Cansino,7,9,1,23,61,37.7,8,27,29.6,3,5,60.0,28,6,10,16,7,0,57,4.9,1.4,2.3,0.0,8.1
Noah Bartlett,8,9,1,28,104,26.9,4,31,12.9,5,14,35.7,53,12,38,11,36,0,65,8.1,4.8,1.4,0.0,8.1
Chad Nellis,8,12,0,31,84,36.9,0,8,0.0,3,4,75.0,29,14,8,16,14,4,65,5.4,1.0,2.0,0.5,8.1
Drian Ramos,6,14,0,18,45,40.0,6,20,30.0,6,14,42.9,19,16,11,7,13,3,48,5.8,1.8,1.2,0.5,8.0
Nico Morrow-Litke,2,8,0,7,19,36.8,1,4,25.0,1,2,50.0,8,5,5,7,8,0,16,6.5,2.5,3.5,0.0,8.0
Rango Ochan,1,0,0,3,8,37.5,2,4,50.0,0,0,0.0,2,0,0,0,1,0,8,2.0,0.0,0.0,0.0,8.0
Bryce McDonald,1,1,0,4,10,40.0,0,1,0.0,0,0,0.0,1,3,4,2,1,1,8,4.0,4.0,2.0,1.0,8.0
Luca Curcio,9,16,1,30,64,46.9,3,16,18.8,9,15,60.0,40,8,7,15,24,12,72,5.3,0.8,1.7,1.3,8.0
Steven Kory,6,4,0,21,63,33.3,5,22,22.7,1,7,14.3,54,5,6,4,8,6,48,9.8,1.0,0.7,1.0,8.0
Andrew Tuck,9,16,1,28,72,38.9,9,28,32.1,6,10,60.0,38,14,9,8,18,0,71,5.8,1.0,0.9,0.0,7.9
Christian Collantes,8,8,0,24,84,28.6,9,41,22.0,6,13,46.2,24,9,15,3,14,1,63,4.1,1.9,0.4,0.1,7.9
Jacky Pham,9,14,0,34,60,56.7,1,4,25.0,2,9,22.2,40,28,16,21,9,5,71,7.6,1.8,2.3,0.6,7.9
Jherome Delos Reyes,9,7,0,27,77,35.1,7,40,17.5,10,18,55.6,44,4,11,8,5,1,71,5.3,1.2,0.9,0.1,7.9
Aidan Maceachern,9,19,1,29,90,32.2,5,24,20.8,8,9,88.9,13,15,6,12,27,3,71,3.1,0.7,1.3,0.3,7.9
Donny Hayes,14,22,2,38,97,39.2,7,26,26.9,28,36,77.8,87,19,92,36,31,6,111,7.6,6.6,2.6,0.4,7.9
Ethan Chesworth,8,13,0,25,59,42.4,0,5,0.0,12,20,60.0,41,10,8,7,19,1,62,6.4,1.0,0.9,0.1,7.8
Samuel Sola,9,8,0,24,66,36.4,10,33,30.3,12,19,63.2,31,17,16,4,14,5,70,5.3,1.8,0.4,0.6,7.8
Carlos Urbiztondo,8,15,0,24,83,28.9,8,38,21.1,6,13,46.2,37,8,10,6,14,0,62,5.6,1.3,0.8,0.0,7.8
Oluwalonimi Ajayi,4,3,0,14,35,40.0,1,2,50.0,2,7,28.6,9,17,1,1,1,1,31,6.5,0.3,0.3,0.3,7.8
William Whiteway,21,40,0,71,137,51.8,4,21,19.0,15,30,50.0,89,34,35,14,33,1,161,5.9,1.7,0.7,0.0,7.7
Jordan Danzinger-Barringer,9,9,0,28,90,31.1,8,37,21.6,5,11,45.5,22,15,5,7,16,2,69,4.1,0.6,0.8,0.2,7.7
Haben-Alem Asghedom,12,14,0,36,89,40.4,9,24,37.5,11,19,57.9,62,15,17,13,13,3,92,6.4,1.4,1.1,0.3,7.7
Scott Braganza,10,7,0,30,102,29.4,8,49,16.3,8,15,53.3,51,13,12,4,9,3,76,6.4,1.2,0.4,0.3,7.6
Jorden Fabregas,10,4,0,29,79,36.7,18,60,30.0,1,1,100.0,40,11,15,11,7,0,76,5.1,1.5,1.1,0.0,7.6
Conner Courtney,12,9,1,36,130,27.7,10,50,20.0,9,14,64.3,43,13,16,9,28,9,91,4.7,1.3,0.8,0.8,7.6
Kevin McKay,9,4,0,27,75,36.0,11,43,25.6,3,6,50.0,26,5,20,9,15,1,68,3.4,2.2,1.0,0.1,7.6
Cody Sinclair,8,8,0,25,78,32.1,0,1,0.0,13,21,61.9,39,15,14,8,15,0,61,6.8,1.8,1.0,0.0,7.6
Isaiah Peters,11,21,2,33,115,28.7,9,51,17.6,7,16,43.8,54,15,30,38,29,6,83,6.3,2.7,3.5,0.5,7.5
Ryan Romaniuk,8,14,1,28,63,44.4,0,2,0.0,4,10,40.0,19,15,8,4,7,3,60,4.3,1.0,0.5,0.4,7.5
Josh Dalzell,4,7,0,11,35,31.4,5,18,27.8,3,4,75.0,17,6,6,1,3,3,30,5.8,1.5,0.3,0.8,7.5
Akinola Akinremi,8,10,0,28,67,41.8,2,11,18.2,2,7,28.6,22,5,9,6,10,1,60,3.4,1.1,0.8,0.1,7.5
Shante Murdock,15,32,1,49,100,49.0,10,33,30.3,4,17,23.5,78,33,19,14,16,11,112,7.4,1.3,0.9,0.7,7.5
Lance Sulit,11,10,0,35,93,37.6,12,51,23.5,0,0,0.0,22,9,19,9,15,0,82,2.8,1.7,0.8,0.0,7.5
Nick Scott,4,5,0,11,30,36.7,2,11,18.2,6,7,85.7,17,2,6,2,5,2,30,4.8,1.5,0.5,0.5,7.5
Inderdeep Brar,6,8,0,22,38,57.9,1,7,14.3,0,2,0.0,19,15,8,2,7,0,45,5.7,1.3,0.3,0.0,7.5
Ryan Whitney,5,10,0,12,52,23.1,9,37,24.3,4,4,100.0,19,4,7,4,7,1,37,4.6,1.4,0.8,0.2,7.4
Danny Urbina,29,39,1,88,246,35.8,15,80,18.8,24,41,58.5,92,62,69,37,71,5,215,5.3,2.4,1.3,0.2,7.4
Sterling Swail,9,13,0,24,60,40.0,19,52,36.5,0,1,0.0,33,6,12,6,7,0,67,4.3,1.3,0.7,0.0,7.4
Christian Harris,9,17,0,23,83,27.7,14,38,36.8,7,10,70.0,25,15,5,6,7,6,67,4.4,0.6,0.7,0.7,7.4
Colten Anderson,10,13,0,31,102,30.4,4,42,9.5,8,21,38.1,79,9,6,18,21,9,74,8.8,0.6,1.8,0.9,7.4
Zain Shah,7,11,0,22,49,44.9,3,11,27.3,4,6,66.7,29,9,3,5,6,1,51,5.4,0.4,0.7,0.1,7.3
Modou Ndiaye,4,0,0,13,26,50.0,2,8,25.0,1,3,33.3,9,3,2,8,6,2,29,3.0,0.5,2.0,0.5,7.3
Jalen Brown,9,19,0,29,85,34.1,3,25,12.0,5,14,35.7,20,18,5,5,19,6,66,4.2,0.6,0.6,0.7,7.3
Cameron Knott,7,3,0,19,58,32.8,13,35,37.1,0,2,0.0,19,6,7,2,10,0,51,3.6,1.0,0.3,0.0,7.3
Nahom Kebere,6,3,0,16,50,32.0,4,24,16.7,8,14,57.1,24,9,4,7,5,4,44,5.5,0.7,1.2,0.7,7.3
Geromy Monte,10,14,0,28,89,31.5,11,34,32.4,6,12,50.0,42,27,12,10,12,3,73,6.9,1.2,1.0,0.3,7.3
Rashid Abdualgadir,12,11,0,33,100,33.0,21,56,37.5,3,6,50.0,29,18,27,12,16,0,88,3.9,2.3,1.0,0.0,7.3
Jeremy Patterson,11,8,0,26,111,23.4,3,25,12.0,24,37,64.9,40,26,23,18,16,5,79,6.0,2.1,1.6,0.5,7.2
Dylan Peters,6,5,0,19,56,33.9,3,21,14.3,2,2,100.0,30,16,5,8,10,6,43,7.7,0.8,1.3,1.0,7.2
Bradyn Wityshyn,6,5,0,19,51,37.3,5,27,18.5,0,1,0.0,20,8,16,5,9,0,43,4.7,2.7,0.8,0.0,7.2
Daniel Deng,5,9,0,15,42,35.7,3,18,16.7,3,12,25.0,11,11,11,10,7,6,36,4.4,2.2,2.0,1.2,7.2
Michele Killge,9,8,0,28,67,41.8,7,20,35.0,0,0,0.0,25,13,6,0,3,0,64,4.2,0.7,0.0,0.0,7.1
Eric Sung,9,10,0,23,70,32.9,18,55,32.7,0,0,0.0,14,6,28,7,6,0,64,2.2,3.1,0.8,0.0,7.1
Ryan Hawley,14,7,0,35,89,39.3,29,72,40.3,0,4,0.0,28,8,17,6,8,0,99,2.6,1.2,0.4,0.0,7.1
Hansen Cloete,7,4,0,17,64,26.6,11,38,28.9,5,7,71.4,27,4,6,11,12,0,50,4.4,0.9,1.6,0.0,7.1
Justin Schafer,17,23,0,50,128,39.1,6,24,25.0,15,24,62.5,78,46,20,6,25,2,121,7.3,1.2,0.4,0.1,7.1
Emmanuel Olugbodi,21,59,1,69,147,46.9,1,6,16.7,10,25,40.0,132,86,30,19,32,25,149,10.4,1.4,0.9,1.2,7.1
Prabhsharn Ghatore,11,6,0,29,92,31.5,14,63,22.2,5,6,83.3,62,20,8,0,6,8,77,7.5,0.7,0.0,0.7,7.0
Shaq Pehlich,3,4,0,10,40,25.0,1,11,9.1,0,2,0.0,9,9,2,3,3,0,21,6.0,0.7,1.0,0.0,7.0
Chris Howell,6,9,1,16,48,33.3,7,26,26.9,3,6,50.0,37,13,12,2,9,2,42,8.3,2.0,0.3,0.3,7.0
Ryu Moniz,10,8,0,24,81,29.6,18,62,29.0,4,10,40.0,29,8,9,8,10,2,70,3.7,0.9,0.8,0.2,7.0
Ankit Raturi,2,4,0,5,15,33.3,4,11,36.4,0,0,0.0,5,2,3,2,3,0,14,3.5,1.5,1.0,0.0,7.0
Marcus Ragot,5,2,0,14,36,38.9,4,17,23.5,3,10,30.0,17,5,7,3,2,0,35,4.4,1.4,0.6,0.0,7.0
Rory Kohlert,8,11,0,21,81,25.9,8,44,18.2,6,8,75.0,36,11,21,16,7,5,56,5.9,2.6,2.0,0.6,7.0
Tyler Koniuck,7,6,0,19,68,27.9,4,18,22.2,7,15,46.7,43,13,9,6,9,3,49,8.0,1.3,0.9,0.4,7.0
Eric Klein,7,2,0,18,74,24.3,5,41,12.2,8,16,50.0,38,2,25,6,9,1,49,5.7,3.6,0.9,0.1,7.0
Logan Reimer,4,6,0,11,22,50.0,0,1,0.0,8,17,47.1,19,11,2,3,5,1,28,7.5,0.5,0.8,0.3,7.0
Mohammed Sharaka,3,5,0,7,27,25.9,6,23,26.1,1,1,100.0,15,1,11,2,4,1,21,5.3,3.7,0.7,0.3,7.0
Monte Everd,1,0,0,3,7,42.9,1,2,50.0,0,0,0.0,5,0,0,0,2,0,7,5.0,0.0,0.0,0.0,7.0
Amir Teame,6,4,0,14,52,26.9,11,39,28.2,3,4,75.0,22,5,9,5,12,0,42,4.5,1.5,0.8,0.0,7.0
Emmanuel Adesida,1,2,0,3,11,27.3,1,6,16.7,0,1,0.0,1,1,1,3,0,0,7,2.0,1.0,3.0,0.0,7.0
Seyer Nuristani,7,3,0,17,67,25.4,11,50,22.0,3,4,75.0,10,2,6,2,6,1,48,1.7,0.9,0.3,0.1,6.9
Joe Bodner,10,20,0,27,74,36.5,14,51,27.5,1,2,50.0,48,13,8,4,14,5,69,6.1,0.8,0.4,0.5,6.9
Duot Tor,8,2,0,24,51,47.1,3,9,33.3,4,10,40.0,17,18,3,8,8,1,55,4.4,0.4,1.0,0.1,6.9
Dante Lam,7,5,1,18,46,39.1,9,24,37.5,3,9,33.3,11,5,9,4,4,0,48,2.3,1.3,0.6,0.0,6.9
Eriq Tkachuk,11,24,1,28,101,27.7,18,67,26.9,2,10,20.0,63,32,13,19,15,1,76,8.6,1.2,1.7,0.1,6.9
Andrew Saygnavong,8,8,0,22,75,29.3,6,37,16.2,4,6,66.7,17,3,5,11,14,0,54,2.5,0.6,1.4,0.0,6.8
Jordan Delury,11,8,0,30,91,33.0,8,45,17.8,7,10,70.0,29,14,32,9,16,3,75,3.9,2.9,0.8,0.3,6.8
Kevin Uswa,5,6,1,13,34,38.2,11,10,110.0,5,16,31.3,6,8,1,4,5,4,34,2.8,0.2,0.8,0.8,6.8
Chris Dobson,5,9,1,15,32,46.9,0,1,0.0,4,12,33.3,13,11,8,12,6,1,34,4.8,1.6,2.4,0.2,6.8
Andriy Kudak,8,5,0,23,60,38.3,7,25,28.0,1,1,100.0,34,7,12,5,15,2,54,5.1,1.5,0.6,0.3,6.8
Steuart Reimer,7,11,0,16,47,34.0,13,40,32.5,2,5,40.0,14,4,13,7,5,0,47,2.6,1.9,1.0,0.0,6.7
Miguel Valera,6,4,0,15,57,26.3,8,47,17.0,2,3,66.7,23,3,15,3,4,0,40,4.3,2.5,0.5,0.0,6.7
John May,10,12,0,24,85,28.2,15,53,28.3,4,5,80.0,30,11,9,9,11,2,67,4.1,0.9,0.9,0.2,6.7
John Ledesma,9,3,0,24,143,16.8,6,42,14.3,6,12,50.0,25,11,21,10,11,1,60,4.0,2.3,1.1,0.1,6.7
Lexy Blacksmith,3,3,0,9,15,60.0,2,6,33.3,0,0,0.0,11,2,5,2,5,1,20,4.3,1.7,0.7,0.3,6.7
Christian Pankiewicz,6,14,0,17,49,34.7,3,10,30.0,3,10,30.0,36,16,5,5,4,1,40,8.7,0.8,0.8,0.2,6.7
Ty Johnson,7,5,0,21,51,41.2,2,8,25.0,1,7,14.3,35,10,3,7,14,6,47,6.4,0.4,1.0,0.9,6.7
Hayden Moyle-Wilson,5,1,0,15,47,31.9,1,12,8.3,2,6,33.3,11,9,4,4,4,0,33,4.0,0.8,0.8,0.0,6.6
Owen Dimaano,7,5,0,18,43,41.9,8,23,34.8,2,2,100.0,20,12,0,6,1,6,46,4.6,0.0,0.9,0.9,6.6
