Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
German Manzano Jr,8,11,1,49,135,36.3,33,90,36.7,6,8,75.0,7.1,1.4,1.8,0.1,17.1,,,,,,,
Tyson Miller,1,4,0,2,11,18.2,1,3,33.3,1,2,50.0,3.0,0.0,2.0,0.0,17.0,,,,,,,
Justin Omega,1,1,0,7,21,33.3,3,11,27.3,0,1,0.0,9.0,4.0,2.0,0.0,17.0,,,,,,,
Prosper Kabongo,1,3,0,8,14,57.1,1,3,33.3,0,0,0.0,9.0,8.0,0.0,1.0,17.0,,,,,,,
Nolan Gooding,7,8,1,42,104,40.4,18,53,34.0,17,28,60.7,5.4,6.0,2.0,0.9,17.0,,,,,,,
Eric Douglas,12,10,0,93,171,54.4,2,4,50.0,12,20,60.0,15.7,1.9,1.4,1.3,16.7,,,,,,,
Bret Draper,5,8,0,31,96,32.3,11,56,19.6,10,17,58.8,4.4,2.4,0.4,0.2,16.6,,,,,,,
Akinola Akinremi,6,6,0,46,96,47.9,1,9,11.1,6,9,66.7,9.0,2.5,1.7,0.7,16.5,,,,,,,
Luke Lintz,7,9,0,48,130,36.9,0,4,0.0,18,36,50.0,14.0,2.3,1.9,1.1,16.3,,,,,,,
Jordan Lavineway,6,6,0,44,71,62.0,0,1,0.0,10,18,55.6,8.2,2.0,1.5,0.7,16.3,,,,,,,
Mark Tachie,7,7,0,48,99,48.5,14,37,37.8,4,5,80.0,8.4,4.1,2.6,0.3,16.3,,,,,,,
Robel Teklu,6,9,0,34,109,31.2,17,56,30.4,12,21,57.1,8.5,1.8,2.2,0.3,16.2,,,,,,,
Chris Demauleon-Bartolay,8,12,0,48,106,45.3,20,56,35.7,13,20,65.0,4.9,1.4,0.8,0.1,16.1,,,,,,,
Nathan McKenna,8,7,0,55,84,65.5,3,7,42.9,16,29,55.2,9.6,4.6,0.8,1.1,16.0,,,,,,,
Itar Kaifman,1,0,0,6,11,54.5,4,6,66.7,0,0,0.0,8.0,1.0,2.0,1.0,16.0,,,,,,,
Orion Remoquillo,8,6,0,48,105,45.7,29,69,42.0,3,3,100.0,4.9,2.5,2.3,0.1,16.0,,,,,,,
Kwinton Cochrane,6,3,1,41,95,43.2,2,11,18.2,12,33,36.4,11.8,3.0,1.3,0.8,16.0,,,,,,,
Kellen Woo,1,1,0,5,18,27.8,2,9,22.2,4,5,80.0,3.0,2.0,3.0,0.0,16.0,,,,,,,
