Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Reese Hickey,3,6,0,9,35,25.7,2,18,11.1,1,4,25.0,21,4.3,0.3,0.3,0.3,7.0,,,,,,30
Ryan Croy,16,23,0,48,100,36.9,0,0,0.0,16,31,51.6,112,3.6,0.5,0.4,0.1,7.0,,,,,,30
Raymond Tuazon,3,9,0,10,16,62.5,0,0,0.0,1,5,20.0,21,2.7,0.7,1.0,0.0,7.0,,,,,,30
Noah Fast,15,39,0,44,100,30.8,9,35,25.7,8,32,25.0,105,6.5,0.7,0.9,0.1,7.0,,,,,,30
Lumar Mambo,1,2,0,3,10,60.0,1,1,100.0,0,0,0.0,7,3.0,0.0,1.0,1.0,7.0,,,,,,30
Denis Clarke,1,1,0,3,10,100.0,0,0,0.0,1,2,50.0,7,2.0,0.0,0.0,0.0,7.0,,,,,,30
Daniel Hidalgo,1,0,0,3,10,42.9,1,4,25.0,0,0,0.0,7,2.0,6.0,1.0,0.0,7.0,,,,,,30
Dorian Quelick,1,2,0,3,10,60.0,1,1,100.0,0,0,0.0,7,4.0,2.0,0.0,0.0,7.0,,,,,,30
Mike Seidu,2,2,0,6,14,42.9,2,8,25.0,0,1,0.0,14,2.0,0.5,0.0,0.0,7.0,,,,,,30
Yoni Worn,18,19,0,49,100,36.6,18,60,30.0,6,13,46.2,124,6.1,2.4,0.6,0.0,6.9,,,,,,30
Balraj Hothi,17,26,0,51,100,49.0,1,9,11.1,14,25,56.0,117,5.7,1.8,1.8,0.1,6.9,,,,,,30
Chris Dobson,19,44,0,58,100,48.3,1,10,10.0,14,20,70.0,131,2.9,1.1,1.6,0.2,6.9,,,,,,30
Abdallah Sheikheldin,19,22,0,56,100,32.2,10,50,20.0,10,13,76.9,132,3.9,3.1,1.3,0.0,6.9,,,,,,30
Azam Coward,19,35,0,53,100,33.8,9,57,15.8,17,40,42.5,132,6.0,0.5,1.3,0.1,6.9,,,,,,30
Chris Custodio,9,1,0,27,77,35.1,5,28,17.9,2,2,100.0,61,2.9,0.2,0.8,0.2,6.8,,,,,,30
Axel Iraduha,5,12,1,17,50,34.0,0,4,0.0,0,8,0.0,34,10.0,3.6,1.4,0.0,6.8,,,,,,30
Kiran Jayabalan,14,23,0,39,89,43.8,8,27,29.6,13,19,68.4,95,3.4,0.4,0.7,0.1,6.8,,,,,,30
Riley Smith,13,21,2,37,99,37.4,1,10,10.0,23,18,127.8,88,5.3,0.7,0.4,0.4,6.8,,,,,,30
Josiah Uminga,16,26,0,41,100,28.5,15,59,25.4,10,31,32.3,107,3.3,1.9,1.8,0.2,6.7,,,,,,30
David Carter,18,15,0,48,100,35.0,23,76,30.3,20,28,71.4,120,2.7,1.2,1.0,0.3,6.7,,,,,,30
Matt Thomas,17,21,1,42,92,45.7,23,56,41.1,7,13,53.8,114,5.6,4.1,1.3,0.4,6.7,,,,,,30
Kyle Palmer,11,28,4,32,100,31.7,4,31,12.9,7,15,46.7,74,4.3,1.9,0.9,0.0,6.7,,,,,,30
Justin Couture,16,32,1,42,87,48.3,16,40,40.0,7,13,53.8,107,1.8,0.9,0.3,0.1,6.7,,,,,,30
Bryan Enns,17,19,0,48,100,43.2,8,18,44.4,11,23,47.8,113,10.3,1.4,0.8,0.4,6.6,,,,,,30
Alex Harnett,14,31,0,45,100,42.5,1,10,10.0,16,26,61.5,93,3.9,0.9,0.1,0.5,6.6,,,,,,30
