Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
1,Good Hoops and Co,9,368,46.0,8,1,787,665,122,,,,,,,,,,,,,,,100
2,Big Stepperz,9,314,39.3,6,3,736,648,88,,,,,,,,,,,,,,,100
3,Manitoba Rebels,9,206,25.8,2,7,627,751,-124,,,,,,,,,,,,,,,100
4,Certified Gremlins,9,182,22.8,1,8,645,774,-129,,,,,,,,,,,,,,,100
