Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Isaiah Peters,20,40,1,70,100,38.9,24,84,28.6,14,30,46.7,180,5.0,2.2,2.6,0.6,9.0,,,,,,100
Danny Urbina,17,35,0,67,100,40.9,12,49,24.5,7,11,63.6,151,4.2,1.4,1.2,0.2,8.9,,,,,,100
Khas Tokar,8,11,0,27,74,36.5,13,43,30.2,4,6,66.7,71,4.1,1.1,0.3,0.5,8.9,,,,,,100
Zachary Van Walleghem,20,20,0,71,100,39.2,21,64,32.8,14,27,51.9,177,3.9,1.8,0.7,0.0,8.9,,,,,,100
Colson Reimer,12,16,0,42,100,41.6,4,21,19.0,19,36,52.8,107,3.7,0.5,0.4,0.3,8.9,,,,,,100
Kobe Burkett,20,20,0,72,100,36.5,26,96,27.1,7,20,35.0,177,3.7,1.5,1.5,0.1,8.9,,,,,,100
Aidan Salmon,10,13,0,33,94,35.1,17,51,33.3,5,9,55.6,88,3.8,0.9,0.9,0.0,8.8,,,,,,100
Dave Michaelson,4,2,0,16,39,41.0,2,12,16.7,1,8,12.5,35,5.5,0.5,1.8,0.5,8.8,,,,,,100
Justin Garcia,20,51,0,68,100,40.0,0,8,0.0,38,71,53.5,175,8.5,1.7,1.6,0.4,8.8,,,,,,100
Parth Saul,18,9,0,59,100,33.0,36,114,31.6,5,11,45.5,159,3.6,1.1,0.1,0.0,8.8,,,,,,100
Dhemir Punay,18,18,0,56,100,32.0,33,111,29.7,12,21,57.1,159,2.9,1.2,0.8,0.2,8.8,,,,,,100
Eric Thompson,16,18,0,61,100,39.1,10,44,22.7,8,13,61.5,139,5.7,1.6,0.8,0.1,8.7,,,,,,100
Brian Casimiro,7,10,1,24,69,34.8,5,29,17.2,8,20,40.0,61,4.4,0.7,0.9,0.0,8.7,,,,,,100
Meher Deol,15,28,0,50,100,34.7,10,43,23.3,21,33,63.6,131,7.6,3.2,1.3,0.1,8.7,,,,,,100
Mike Hebert,35,57,3,117,100,49.8,6,28,21.4,62,111,55.9,304,8.0,2.7,0.8,1.4,8.7,,,,,,100
Alex Park,20,18,0,69,100,34.2,20,84,23.8,16,24,66.7,174,3.1,0.5,0.5,0.0,8.7,,,,,,100
Colin Laplante,17,22,0,57,100,32.6,16,72,22.2,19,34,55.9,148,5.2,2.1,1.0,0.3,8.7,,,,,,100
Andrew Willms,16,27,1,48,100,34.0,3,26,11.5,38,68,55.9,139,9.8,1.0,0.4,0.7,8.7,,,,,,100
Hanny Mehari,5,10,0,20,44,45.5,3,10,30.0,0,5,0.0,43,4.0,1.6,0.8,1.4,8.6,,,,,,100
Carter Gilmore,19,32,0,65,100,33.7,21,91,23.1,13,20,65.0,164,6.8,1.4,0.9,0.2,8.6,,,,,,100
Trudon Bofoya,19,28,0,78,100,73.6,0,1,0.0,8,12,66.7,164,5.6,1.1,0.8,0.6,8.6,,,,,,100
Kobby Saint,20,12,1,77,100,39.5,4,29,13.8,14,24,58.3,172,10.6,1.5,0.6,0.1,8.6,,,,,,100
Brian Voth,18,37,0,70,100,41.4,2,4,50.0,18,28,64.3,154,10.3,0.7,0.4,0.3,8.6,,,,,,100
Riley Sova,12,18,0,41,93,44.1,3,15,20.0,17,23,73.9,102,4.5,0.7,1.2,0.3,8.5,,,,,,100
Ali Ahmed,20,30,4,60,100,44.1,44,105,41.9,4,5,80.0,170,6.8,2.1,1.0,0.1,8.5,,,,,,100
Kieran McGrath,8,8,0,28,71,39.4,7,23,30.4,5,10,50.0,68,5.1,0.8,0.5,0.5,8.5,,,,,,100
Jesse Gates,37,37,3,130,100,41.9,42,120,35.0,14,17,82.4,316,5.0,2.5,1.4,0.8,8.5,,,,,,100
J.C. Aaron,16,19,0,46,100,35.7,19,51,37.3,23,39,59.0,134,3.9,1.6,0.9,0.0,8.4,,,,,,100
Aaron Thomas,5,7,0,19,46,41.3,0,1,0.0,4,7,57.1,42,3.2,1.6,1.0,0.4,8.4,,,,,,100
Eric Dupuis,14,16,0,48,100,35.8,4,30,13.3,17,37,45.9,117,5.4,1.4,0.7,0.4,8.4,,,,,,100
Greg Diouf,9,11,0,27,70,38.6,13,36,36.1,9,12,75.0,76,5.8,1.1,1.0,0.2,8.4,,,,,,100
Tom Miller,16,23,0,58,100,43.9,4,15,26.7,14,32,43.8,134,3.3,1.2,1.1,0.3,8.4,,,,,,100
Bobbie Driskell,14,13,0,49,100,39.5,14,45,31.1,5,5,100.0,117,4.1,1.9,0.6,0.2,8.4,,,,,,100
Aksajeet Toor,14,19,0,51,100,41.1,8,34,23.5,9,20,45.0,118,5.5,0.7,0.4,0.0,8.4,,,,,,100
Sean Kirby,24,21,0,74,100,31.6,44,154,28.6,7,24,29.2,199,3.7,0.9,0.6,0.4,8.3,,,,,,100
Nick Fletcher,19,36,1,52,100,37.4,20,63,31.7,33,37,89.2,157,3.1,2.1,1.2,0.1,8.3,,,,,,100
Kristian Teschner,13,23,0,43,100,37.7,14,47,29.8,8,13,61.5,108,5.1,1.3,0.5,0.3,8.3,,,,,,100
Christian Bantug,8,11,0,28,55,50.9,3,10,30.0,7,13,53.8,66,3.6,0.8,0.6,0.3,8.3,,,,,,100
Tyler Kohut,14,22,0,47,100,47.0,2,10,20.0,19,28,67.9,115,5.2,2.7,1.1,0.1,8.2,,,,,,100
Ticon Dano,18,18,0,56,100,36.8,24,71,33.8,11,16,68.8,147,4.4,1.4,1.2,0.1,8.2,,,,,,100
Owen Dimaano,14,14,0,50,81,61.7,12,41,29.3,3,7,42.9,115,4.1,0.3,0.6,0.9,8.2,,,,,,100
Jeremiah San Jose,19,24,0,67,100,35.4,15,69,21.7,4,10,40.0,153,3.7,1.2,1.2,0.1,8.1,,,,,,100
Michael Smith,14,14,0,48,100,41.7,0,0,0.0,16,45,35.6,113,5.6,0.7,0.6,0.0,8.1,,,,,,100
Justin Duff,11,17,0,40,74,54.1,0,1,0.0,9,24,37.5,89,11.6,0.5,0.5,2.4,8.1,,,,,,100
Andrew Sullivan,13,20,0,50,73,68.5,4,7,57.1,3,7,42.9,105,7.8,3.1,1.2,0.5,8.1,,,,,,100
Milan Tombeli,1,2,0,4,13,30.8,0,1,0.0,0,0,0.0,8,9.0,0.0,3.0,1.0,8.0,,,,,,100
Jon Hayter,3,6,0,10,24,41.7,3,14,21.4,1,2,50.0,24,3.3,1.0,0.7,0.3,8.0,,,,,,100
Kito Poblah,2,3,0,7,12,58.3,2,3,66.7,0,0,0.0,16,10.0,0.0,1.5,0.0,8.0,,,,,,100
Dele Opaleke,1,5,1,3,5,60.0,0,0,0.0,2,4,50.0,8,2.0,2.0,0.0,0.0,8.0,,,,,,100
Amin Peter,1,0,0,3,4,75.0,2,3,66.7,0,0,0.0,8,4.0,3.0,0.0,0.0,8.0,,,,,,100
Sam Haufek,5,6,0,16,36,44.4,6,17,35.3,2,7,28.6,40,6.2,0.2,0.2,0.4,8.0,,,,,,100
Ryan Rycroft,3,2,0,9,24,37.5,6,19,31.6,0,0,0.0,24,3.0,0.7,0.7,0.0,8.0,,,,,,100
AJ Connor,1,0,0,4,9,44.4,0,3,0.0,0,0,0.0,8,4.0,5.0,0.0,1.0,8.0,,,,,,100
Chris Sheperd,3,0,0,9,24,37.5,4,8,50.0,2,4,50.0,24,3.3,1.3,0.0,0.0,8.0,,,,,,100
Nam Nguyen,18,21,0,61,100,37.9,5,35,14.3,15,29,51.7,144,2.9,2.1,1.1,0.0,8.0,,,,,,100
Rylen Olaes,2,0,0,6,18,33.3,3,7,42.9,1,3,33.3,16,1.5,3.0,0.5,0.0,8.0,,,,,,100
Shaerab Header,2,0,0,7,11,63.6,1,3,33.3,1,4,25.0,16,0.0,0.5,0.5,0.5,8.0,,,,,,100
Neil Tolentino,1,2,0,3,11,27.3,1,4,25.0,1,2,50.0,8,1.0,1.0,0.0,0.0,8.0,,,,,,100
Mekhi Tryal,1,0,0,3,9,33.3,2,4,50.0,0,0,0.0,8,3.0,1.0,2.0,1.0,8.0,,,,,,100
Ysaac Toledo,19,10,0,67,100,42.4,9,42,21.4,9,27,33.3,152,6.3,1.6,0.4,0.0,8.0,,,,,,100
Gaby Rizk,22,40,2,62,100,32.8,22,88,25.0,31,50,62.0,177,4.5,0.9,1.5,0.0,8.0,,,,,,100
Tiago Oliverira,1,1,0,3,8,37.5,1,3,33.3,1,2,50.0,8,8.0,3.0,3.0,0.0,8.0,,,,,,100
Juan Villada,9,13,0,24,62,38.7,19,42,45.2,8,9,88.9,71,5.2,2.9,1.0,0.0,7.9,,,,,,100
Ryan Storey,13,27,1,36,100,33.0,16,58,27.6,15,30,50.0,103,4.7,1.8,0.7,0.1,7.9,,,,,,100
Elvis Music,20,38,0,68,100,39.8,8,39,20.5,13,25,52.0,157,5.1,1.0,0.5,0.3,7.9,,,,,,100
Steven Wong,15,30,0,48,100,36.9,4,25,16.0,20,34,58.8,118,4.2,1.2,0.2,0.2,7.9,,,,,,100
Jarrel Garcia,16,14,0,46,100,38.7,25,85,29.4,11,14,78.6,126,3.4,1.6,0.8,0.1,7.9,,,,,,100
David Mugugu,7,21,0,21,43,48.8,8,19,42.1,5,9,55.6,55,4.9,0.7,0.1,0.1,7.9,,,,,,100
Amir Teame,4,9,0,13,31,41.9,3,15,20.0,2,3,66.7,31,2.5,1.0,1.3,0.0,7.8,,,,,,100
