Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Paul Belanger,7,15,0,23,54,42.6,0,2,0.0,7,9,77.8,5.4,1.0,0.6,0.1,7.6,,,,,,,100
Christian Balbin,8,5,0,24,73,32.9,10,42,23.8,2,7,28.6,1.5,2.1,0.5,0.0,7.5,,,,,,,100
Taranjit Basan,8,12,0,24,65,36.9,11,40,27.5,1,2,50.0,6.5,3.1,0.9,0.1,7.5,,,,,,,100
Marc Tormis,2,1,0,7,15,46.7,1,4,25.0,0,0,0.0,0.5,1.0,2.0,0.0,7.5,,,,,,,100
Michael Austin Pascua,2,3,0,5,11,45.5,2,3,66.7,3,4,75.0,7.0,1.0,1.0,0.0,7.5,,,,,,,100
Kobby Saint,15,21,1,49,100,45.0,6,18,33.3,7,10,70.0,11.0,2.3,1.3,0.1,7.4,,,,,,,100
Elson Bocalan,9,12,0,28,57,49.1,0,0,0.0,11,19,57.9,6.8,2.6,0.9,0.2,7.4,,,,,,,100
Lochlin Whitney,8,6,0,21,78,26.9,13,53,24.5,4,6,66.7,2.3,5.4,1.1,0.1,7.4,,,,,,,100
Raymond Tuazon,3,8,0,8,13,61.5,0,0,0.0,6,9,66.7,4.0,0.7,0.7,0.3,7.3,,,,,,,100
Blaire Cajigas,6,13,0,18,47,38.3,1,9,11.1,7,15,46.7,6.5,2.5,1.5,0.2,7.3,,,,,,,100
Bussil Khan,7,26,1,20,66,30.3,5,29,17.2,5,9,55.6,4.1,3.0,1.3,0.4,7.1,,,,,,,100
Don Dayrit,1,0,0,3,6,50.0,1,4,25.0,0,0,0.0,10.0,8.0,1.0,0.0,7.0,,,,,,,100
Sohaib Siddiquie,8,6,0,21,57,36.8,8,26,30.8,6,10,60.0,3.1,1.8,0.4,0.5,7.0,,,,,,,100
Daniel Sapirstein,5,8,0,17,52,32.7,0,0,0.0,1,7,14.3,9.6,1.2,1.4,1.4,7.0,,,,,,,100
Jirah Balbin,1,2,0,2,11,18.2,1,9,11.1,2,2,100.0,5.0,2.0,0.0,0.0,7.0,,,,,,,100
Chukwudi Chijioke,2,6,0,5,17,29.4,3,8,37.5,1,2,50.0,5.5,1.5,2.0,0.5,7.0,,,,,,,100
