Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
1,Attack Sr Prep Elite,20,982,49.1,17,3,1704,1416,288,,,,,,,,,,,,,,,100
2,Redwood Avenue,20,932,46.6,15,5,1909,1699,210,,,,,,,,,,,,,,,100
3,SJW Decks,20,866,43.3,13,7,1592,1519,73,,,,,,,,,,,,,,,100
4,Veteran Minimum,20,748,37.4,9,11,1650,1664,-14,,,,,,,,,,,,,,,100
