Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
1,Good Hoops and Co,9,368,46.0,10,1,787,665,122,,,,,,,,,,,,,,,30
2,Big Stepperz,9,314,39.3,10,3,736,648,88,,,,,,,,,,,,,,,30
3,Manitoba Rebels,9,206,25.8,10,7,627,751,-124,,,,,,,,,,,,,,,30
4,Certified Gremlins,9,182,22.8,10,8,645,774,-129,,,,,,,,,,,,,,,30
