Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
1,OTF,12,358,39.8,10,4,749,777,-28,,,,,,,,,,,,,,,30
2,Certified,11,294,32.7,10,6,769,742,27,,,,,,,,,,,,,,,30
3,J Shine Commercial Cleaning,9,274,30.4,10,5,829,777,52,,,,,,,,,,,,,,,30
4,SwisherSweets,10,256,28.4,10,7,754,779,-25,,,,,,,,,,,,,,,30
5,Buckets Expeditiously,10,240,26.7,10,8,753,810,-57,,,,,,,,,,,,,,,30
