Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
1,OTF,12,358,39.8,8,4,749,777,-28,,,,,,,,,,,,,,,
2,Certified,11,294,32.7,5,6,769,742,27,,,,,,,,,,,,,,,
3,J Shine Commercial Cleaning,9,274,30.4,5,5,829,777,52,,,,,,,,,,,,,,,
4,SwisherSweets,10,256,28.4,3,7,754,779,-25,,,,,,,,,,,,,,,
5,Buckets Expeditiously,10,240,26.7,2,8,753,810,-57,,,,,,,,,,,,,,,
